bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,woningwaarde,personenautos_per_huishouden,motortweewielers_totaal
476,80,45,35,12,2,31,41,14,60,28,9,2,12,35,1.8,3,0,0.0,0.0,10
18767,1690,785,905,9,21,27,21,22,61,26,10,3,9,1035,1.6,785,404,3171.4,0.4,35
21933,2635,1465,1165,9,7,36,34,14,66,19,13,2,4,1355,1.6,1310,410,5371.0,0.5,65
8885,1775,900,875,10,11,36,29,14,67,22,9,2,10,1040,1.7,906,432,3913.92,0.4,55
23610,2360,1175,1180,10,11,45,23,10,74,15,9,2,17,1465,1.6,1454,364,5292.56,0.3,65
18557,1300,650,650,20,13,24,33,10,63,30,6,1,11,620,2.1,562,606,3405.72,0.5,35
18780,940,445,490,6,12,32,28,23,70,18,9,3,10,620,1.5,572,475,2717.0,0.3,30
17265,2935,1490,1445,9,10,28,32,21,64,25,8,3,9,1890,1.6,1659,517,8577.03,0.4,135
66,95,55,40,2,53,34,8,3,89,6,4,0,0,85,1.1,4,0,0.0,0.0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0.0,0.0,10
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7,0,0.0,0.0,0
9,35,20,10,0,0,0,0,0,0,0,0,0,30,15,1.7,12,0,0.0,0.0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,0,0,0.0,0.0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0.0,0.0,10
0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,0,0.0,0.0,0
0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,1.8,2,0,0.0,0.0,5
22,10,10,5,0,0,0,0,0,0,0,0,0,0,5,1.1,9,0,0.0,0.0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
58,120,95,25,2,45,33,18,3,85,7,8,0,0,105,1.1,29,0,0.0,0.0,50
28,30,15,15,0,0,0,0,0,0,0,0,0,36,10,2.2,2,0,0.0,0.0,0
820,695,410,285,1,35,61,3,0,94,5,1,0,3,615,1.1,605,134,810.7,1.9,10
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
10117,3035,1555,1480,23,5,42,23,8,63,30,5,2,33,1365,2.2,1418,679,9628.22,0.9,100
32650,655,355,300,8,6,24,41,21,58,31,8,2,5,395,1.6,352,632,2224.64,0.6,25
22167,1995,980,1015,15,9,38,27,11,70,20,9,2,11,1060,1.7,1026,407,4175.82,0.4,40
27030,2700,1355,1350,12,8,35,31,14,67,19,11,2,11,1675,1.6,1646,373,6139.58,0.3,65
20660,1030,485,550,12,8,38,27,14,70,20,9,2,7,625,1.7,595,361,2147.95,0.4,30
21350,1705,855,850,12,6,39,21,22,66,18,10,6,15,960,1.6,947,361,3418.67,0.3,35
21017,1260,650,615,13,9,43,26,9,70,19,9,2,18,770,1.6,811,373,3025.03,0.4,40
16250,1950,965,985,13,8,42,27,10,68,19,11,2,14,1115,1.7,1077,410,4415.7,0.4,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,1.3,6,0,0.0,0.0,0
22900,1375,690,685,12,10,41,26,12,67,23,8,2,9,830,1.7,823,426,3505.98,0.4,35
21150,850,425,420,9,10,26,35,21,64,22,11,3,11,560,1.5,551,403,2220.53,0.3,25
20267,1220,595,620,8,8,31,28,25,58,23,14,5,11,765,1.6,743,354,2630.22,0.3,30
36770,3675,1835,1840,11,8,46,28,8,76,16,7,1,14,2310,1.6,2329,358,8337.82,0.3,105
27660,2770,1370,1395,10,9,51,25,5,77,15,7,1,14,1745,1.6,1770,362,6407.4,0.3,90
27536,3025,1515,1515,12,9,39,29,10,70,21,7,1,13,1680,1.8,1607,476,7649.32,0.4,85
21200,1270,600,670,13,15,22,39,11,62,28,9,2,6,610,2.1,602,502,3022.04,0.3,25
62,15,5,5,0,0,0,0,0,0,0,0,0,0,5,2.0,0,0,0.0,0.0,5
457,65,35,30,16,14,19,45,6,59,28,9,3,0,30,2.1,13,0,0.0,0.0,15
17750,1065,520,550,10,8,42,24,16,65,24,8,3,23,625,1.7,631,391,2467.21,0.4,15
